Record ID,project_status,Year announced,year_announced,tech_class,is_blue,Region major,region_EU27,Primary end use sector,T1_narrow,T2_broad,T3_strict,export_to_eu,log_capacity,cancel_A,cancel_B,cancel_C,cancel_D,operating
CETPROJH2879,Fully commissioned,2017.0,2017,Green,0,Europe (non EU-27),0,Gas grid,0,0,0,0,2.8903717578961645,0,0,0,0,1
CETPROJH2878,Decommissioned,2015.0,2015,Green,0,Europe (non EU-27),0,Gas grid,0,0,0,0,3.1354942159291497,0,1,1,0,0
CETPROJH2875,Fully commissioned,2016.0,2016,Green,0,Europe (non EU-27),0,Transport (road),0,0,0,0,5.351858133476067,0,0,0,0,1
CETPROJH2870,On-hold (assumed),2022.0,2022,Green,0,Europe (EU-27),1,Industry (refinery feedstock),1,1,1,0,8.131824785007195,0,0,0,1,0
CETPROJH2869,Fully commissioned,2019.0,2019,Green,0,Europe (EU-27),1,Transport (other),0,1,0,0,3.4011973816621555,0,0,0,0,1
CETPROJH2868,Fully commissioned,2020.0,2020,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,4.859812404361672,0,0,0,0,1
CETPROJH2867,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Transport (other),0,1,0,0,0.0,0,0,0,1,0
CETPROJH2866,Fully commissioned,2015.0,2015,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,3.9318256327243257,0,0,0,0,1
CETPROJH2865,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Power & heat,0,1,0,0,6.4967749901858625,0,0,0,1,0
CETPROJH2864,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Power & heat,0,1,0,0,9.021598247379305,0,0,0,1,0
CETPROJH2863,On-hold (assumed),2021.0,2021,Green,0,Europe (non EU-27),0,Transport (road),0,0,0,0,0.0,0,0,0,1,0
CETPROJH2862,On-hold (assumed),2021.0,2021,Green,0,Europe (non EU-27),0,Unknown,0,0,0,0,0.0,0,0,0,1,0
CETPROJH2861,On-hold (assumed),2021.0,2021,Green,0,Europe (non EU-27),0,Unknown,0,0,0,0,0.0,0,0,0,1,0
CETPROJH2860,On-hold (assumed),2021.0,2021,Green,0,Europe (non EU-27),0,Unknown,0,0,0,0,0.0,0,0,0,1,0
CETPROJH2859,On-hold (assumed),2021.0,2021,Green,0,Europe (non EU-27),0,Unknown,0,0,0,0,10.778977123006351,0,0,0,1,0
CETPROJH2858,Plans cancelled,2021.0,2021,Green,0,Europe (non EU-27),0,Industry (other),0,0,0,0,0.0,1,1,1,1,0
CETPROJH2857,On-hold (assumed),2021.0,2021,Green,0,Europe (non EU-27),0,Unknown,0,0,0,0,8.476579508530941,0,0,0,1,0
CETPROJH2856,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,7.818027938530729,0,0,0,1,0
CETPROJH2855,On-hold (assumed),2021.0,2021,Green,0,Europe (non EU-27),0,Gas grid,0,0,0,0,0.0,0,0,0,1,0
CETPROJH2854,Permitted,2021.0,2021,Green,0,Europe (non EU-27),0,Other,0,0,0,0,0.0,0,0,0,0,0
CETPROJH2853,On-hold (assumed),2020.0,2020,Green,0,Europe (non EU-27),0,Unknown,0,0,0,0,0.0,0,0,0,1,0
CETPROJH2852,On-hold (assumed),2020.0,2020,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,10.239995502805316,0,0,0,1,0
CETPROJH2851,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Power & heat,0,1,0,0,6.61472560020376,0,0,0,1,0
CETPROJH2850,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Power & heat,0,1,0,0,6.981934677156389,0,0,0,1,0
CETPROJH2849,Plans cancelled,2021.0,2021,Blue_CCS,1,Europe (non EU-27),0,Industry (other),0,0,0,0,0.0,1,1,1,1,0
CETPROJH2848,On-hold (assumed),2021.0,2021,Blue_CCS,1,Europe (non EU-27),0,Transport (rail),0,0,0,0,0.0,0,0,0,1,0
CETPROJH2847,Design,2021.0,2021,Blue_CCS,1,Europe (non EU-27),0,Unknown,0,0,0,0,10.085850775128717,0,0,0,0,0
CETPROJH2846,On-hold (assumed),2021.0,2021,Green,0,Europe (non EU-27),0,Power & heat,0,0,0,0,4.795790545596741,0,0,0,1,0
CETPROJH2845,On-hold (assumed),2021.0,2021,Waste,0,Europe (EU-27),1,Power & heat,0,1,0,0,0.0,0,0,0,1,0
CETPROJH2844,On-hold (assumed),2021.0,2021,Waste,0,Europe (EU-27),1,Power & heat,0,1,0,0,8.699681400989514,0,0,0,1,0
CETPROJH2843,On-hold (assumed),2021.0,2021,Waste,0,Europe (EU-27),1,Power & heat,0,1,0,0,8.699681400989514,0,0,0,1,0
