CATE_dml,CATE_t_learner,log_capacity,years_since_announce,region_eu,region_na,region_asia,post_cbam_proposal,sponsor_corporate
0.1515099373927086,0.13618882564923115,5.955837369464831,8.0,1,0,0,0,0
0.17805186273067697,0.10473471789631053,5.996452088619021,6.0,1,0,0,0,0
0.0010169547057947998,0.038492128147567396,5.902633333401366,5.0,0,1,0,1,0
-0.029036887350378987,0.2813881222258193,6.059123195581797,24.0,1,0,0,0,0
0.020588697850419228,0.11079051645022542,3.8066624897703196,6.0,1,0,0,0,0
-0.002798662455611984,0.15975005376813656,3.8066624897703196,8.0,1,0,0,0,0
0.005841273984331568,0.10201793759211054,0.0,6.0,1,0,0,0,0
0.016402146359840487,0.011621544601223808,5.739792912179234,4.0,0,0,1,1,0
0.06836033351311704,0.040931495702808574,12.143782262102894,5.0,0,0,1,1,0
-0.04468213994357649,0.020397147843666585,3.2188758248682006,6.0,0,0,1,0,0
1.1109964348250971e-05,-0.040911856377114614,0.0,4.0,0,0,1,1,0
-0.08218849892978133,-0.16170616375901667,9.301186055275759,6.0,0,1,0,0,0
0.02302209431464966,-0.016337122902642838,5.902633333401366,4.0,0,0,1,1,0
0.01983978813015107,0.008576816530420542,6.643789733147672,4.0,0,0,1,1,0
0.013568350681394536,0.011727794601223808,5.707110264748875,4.0,0,0,1,1,0
-0.03564854266594463,-0.060679486568075244,8.38958706681109,4.0,0,0,1,1,0
0.05731870706434246,-0.05812915378378132,12.716900269294165,5.0,0,1,0,1,0
-0.043854803184418256,-0.018337356875620436,8.844480518460378,6.0,0,0,1,0,0
-0.03674391282198618,0.022692402083538895,4.820281565605037,6.0,0,0,1,0,0
0.013920814102791114,-0.05636142335362937,11.717016667458962,5.0,0,1,0,1,0
0.028870502897572883,0.25424765980138553,1.3862943611198906,17.0,0,0,1,0,0
-0.028622577127512306,-0.015004063317084428,10.081173380925554,6.0,0,0,1,0,0
0.027704591887959505,0.0015955451206335642,6.968850378341948,5.0,0,0,1,1,0
-0.0015324918851809081,-0.0008279570133169204,10.463131911491967,3.0,0,0,1,1,0
0.014228069908130707,-0.01129959266893507,11.418625774449596,4.0,0,0,1,1,0
0.05407576775863486,0.3358595167517904,13.122365377402328,4.0,0,1,0,1,0
0.04111743651144157,0.017965029582888932,6.68586094706836,5.0,0,0,1,1,0
-0.001593969737798807,-0.022328038371668475,0.0,5.0,0,0,1,1,0
0.05731870706434246,0.2293005058741003,13.454369943459026,5.0,0,1,0,1,0
0.006600131434236862,0.01901225706614075,2.6390573296152584,5.0,0,0,1,1,0
-0.029068994871545916,0.0238734580148718,5.278114659230517,6.0,0,0,1,0,0
0.00287859132384906,0.02856358898342943,2.0794415416798357,5.0,0,0,1,1,0
-0.03761934876722193,-0.01042263559112232,9.210440366976517,7.0,0,0,1,0,0
0.015647831052401605,0.0006186945232877733,7.404887575616125,6.0,0,0,1,0,0
0.013307213356223738,0.11203489189053038,0.0,5.0,0,1,0,1,0
-0.03514538669448665,0.023417357432944888,5.049856007249537,6.0,0,0,1,0,0
