Region major,cbam_endex,log_cap,year_announced,is_blue,cancel_B,cate,cate_lo,cate_hi,cate_significant
Europe (EU-27),0,4.174387269895637,2013,0,0,0.012976487337300297,-0.4260732197696592,0.45202619444425973,0
Europe (EU-27),0,2.4849066497880004,2013,0,0,-0.06362021965876082,-0.585388674283053,0.45814823496553114,0
Europe (EU-27),0,3.713572066704308,2016,0,0,0.29135583685408967,0.004031450353217558,0.5786802233549617,1
Europe (EU-27),0,4.174387269895637,2013,0,0,0.012976487337300297,-0.4260732197696592,0.45202619444425973,0
Europe (EU-27),0,4.07753744390572,2011,0,0,-0.02039834949199132,-0.3935000700108767,0.3527033710268941,0
Europe (EU-27),0,4.04305126783455,2011,0,0,-0.020464196518171683,-0.39405413403399747,0.35312574099765376,0
Europe (EU-27),0,4.02535169073515,2012,0,0,-0.009935471563925906,-0.3960286680753915,0.3761577249475398,0
Europe (EU-27),1,4.174387269895637,2015,0,0,0.1567868913916242,-0.2661835659047761,0.5797573486880245,0
Europe (EU-27),0,3.713572066704308,2010,0,0,-0.029343703470730363,-0.4205247473544793,0.3618373404130184,0
Europe (EU-27),1,4.219507705176107,2011,0,0,-0.006045816892068666,-0.3782300727844475,0.36613843900031,0
Europe (EU-27),0,2.3978952727983707,2011,0,1,-0.0782915689215684,-0.5156300766823381,0.3590469388392012,0
Europe (EU-27),0,4.718498871295094,2012,0,0,0.07713429957690467,-0.5045078547804303,0.6587764539342394,0
Europe (EU-27),0,4.219507705176107,2011,0,0,-0.020333351343476115,-0.4213376303649796,0.38067092767802746,0
Europe (EU-27),0,3.1780538303479458,2011,0,1,-0.06462848036976418,-0.4345546498735821,0.30529768913405364,0
Europe (EU-27),0,2.9444389791664403,2011,0,1,-0.06791347389414441,-0.44750569904974014,0.31167875126145106,0
Europe (EU-27),0,4.418840607796598,2011,0,0,-0.005843154813406077,-0.44918492535518256,0.4374986157283706,0
Europe (EU-27),1,4.290459441148391,2016,0,0,0.26213336236125684,-0.17780447136043048,0.7020711960829439,0
Europe (EU-27),0,4.394449154672439,2013,0,0,0.028616002958991468,-0.4802929947929427,0.5375250007109255,0
Europe (EU-27),0,4.454347296253507,2011,0,0,-0.005843154813406077,-0.44918492535518256,0.4374986157283706,0
Europe (EU-27),0,5.993961427306569,2011,0,0,0.07321798657887744,-0.4141798333375447,0.5606158064952994,0
Europe (EU-27),1,2.3978952727983707,2012,0,1,-0.04615231562814285,-0.45652971261001446,0.3642250813537286,0
Europe (EU-27),0,5.327876168789581,2010,0,0,0.09222132192880733,-0.4427524840107094,0.6271951278683241,0
Europe (EU-27),0,2.772588722239781,2010,0,1,-0.06065818231465083,-0.45597644706074086,0.3346600824314391,0
Europe (EU-27),0,4.927253685157205,2010,0,0,0.07401826375469989,-0.5012282754604078,0.6492648029698072,0
Europe (EU-27),0,2.772588722239781,2018,0,0,0.3776030905943445,-0.22455731449964184,0.9797634956883305,0
Europe (EU-27),0,2.772588722239781,2020,0,0,0.3317973395131054,-0.18489482754739295,0.8484895065736046,0
Europe (EU-27),0,2.772588722239781,2020,0,0,0.3317973395131054,-0.18489482754739295,0.8484895065736046,0
Europe (EU-27),0,2.772588722239781,2018,0,0,0.3776030905943445,-0.22455731449964184,0.9797634956883305,0
Asia-Pacific,0,9.232199706329077,2021,0,1,-0.11252478675284665,-0.31544147296309755,0.09039189945740417,0
North America,0,9.078065332666364,2020,1,0,0.029883896241391164,-0.10808660318799457,0.1678543956707768,0
Asia-Pacific,0,4.859812404361672,2022,0,0,0.17462052867581082,-0.12460537326139887,0.4738464306130204,0
Asia-Pacific,0,10.413642951751815,2021,0,1,-0.11514965122676343,-0.31215777644675036,0.08185847399322346,0
Asia-Pacific,0,9.581145019820722,2021,0,1,-0.11548626958272534,-0.3246356499453825,0.09366311077993181,0
Asia-Pacific,0,8.154212694914229,2021,0,1,-0.12500128735845015,-0.32800258238207836,0.078000007665178,0
Asia-Pacific,0,11.786008995353765,2021,0,1,-0.11403204736683396,-0.3048912142940884,0.07682711956042039,0
Asia-Pacific,1,0.0,2021,0,1,0.18473509531745735,-0.12470381065515815,0.4941740012900727,0
Asia-Pacific,0,7.111512116496157,2021,0,1,-0.1306942027810458,-0.3252872207674916,0.06389881520539994,0
Asia-Pacific,0,10.021315031649332,2021,0,1,-0.11316595270692227,-0.31005565233116583,0.0837237469173214,0
Asia-Pacific,0,0.0,2020,0,1,0.21613469575125985,-0.09046266022069535,0.522732051723215,0
Asia-Pacific,0,6.444131256700441,2020,0,1,-0.00031519698857631663,-0.1361678098231857,0.13553741584603302,0
Asia-Pacific,0,3.912023005428146,2020,0,0,0.20810245334348407,-0.13104206222346285,0.5472469689104308,0
Asia-Pacific,0,1.0986122886681098,2021,0,0,0.1439897723001863,-0.21326737203024138,0.5012469166306139,0
Asia-Pacific,0,2.0794415416798357,2019,0,0,0.22576917594999013,-0.35625880740973004,0.8077971593097101,0
