project_id,is_blue_ccs,log_capacity_mw,region,sponsor_type,sponsor_owner,tech,year_announced,duration,event_any,event_type
542,1,0.0,North_America,Other,Alaska Gasline Development Corporation,Blue_CCS,2022.0,4,0,0
543,0,0.2151113796169455,EU,Unknown,Unknown,PEM,2023.0,3,0,0
544,0,0.6931471805599453,North_America,Unknown,Unknown,PEM,2020.0,6,0,0
545,0,0.14842000511827327,Other,Unknown,Unknown,PEM,2023.0,3,0,0
546,0,0.6931471805599453,Asia,Unknown,Unknown,PEM,2023.0,3,0,0
547,0,0.0,Other_Europe,Unknown,Unknown,PEM,2023.0,3,0,0
548,0,5.638354669333745,EU,Other,Arcadia eFuels ApS,PEM,2023.0,3,0,0
549,0,0.6931471805599453,North_America,Unknown,Unknown,PEM,2018.0,8,0,0
550,1,0.0,EU,Industrial_gas,L'Air Liquide S.A.,Blue_CCS,2023.0,3,0,0
551,0,6.90875477931522,EU,Other,Trafigura Group Pte. Ltd.,PEM,2021.0,5,0,0
552,0,2.3978952727983707,EU,Unknown,Unknown,PEM,2021.0,5,0,0
553,0,0.0,EU,Unknown,Unknown,PEM,2013.0,13,0,0
554,0,0.2468600779315258,North_America,Unknown,Unknown,PEM,2021.0,5,0,0
555,0,0.15700374880966475,North_America,Unknown,Unknown,PEM,2008.0,18,0,0
556,0,0.11332868530700317,North_America,Unknown,Unknown,PEM,2005.0,21,0,0
557,0,0.11332868530700317,North_America,Unknown,Unknown,PEM,2010.0,16,0,0
558,0,0.058268908123975775,North_America,Unknown,Unknown,PEM,2014.0,12,0,0
559,1,0.0,ANZ,Other,"Kawasaki Heavy Industries,   Ltd.",Blue_CCS,2018.0,8,0,0
560,0,3.6620219999440535,North_America,Pure_play,Plug Power Inc.,PEM,2022.0,4,0,0
561,0,3.044522437723423,North_America,Other,"Gevo, Inc.",PEM,2023.0,3,0,0
562,0,1.252762968495368,Other,Unknown,Unknown,PEM,2022.0,4,0,0
563,0,3.713572066704308,ANZ,Unknown,Unknown,PEM,2020.0,3,1,2
564,0,0.4382549309311553,EU,Unknown,Unknown,PEM,2017.0,9,0,0
565,0,1.252762968495368,EU,Unknown,Unknown,PEM,2023.0,3,0,0
566,0,0.13976194237515868,ANZ,Unknown,Unknown,PEM,2023.0,3,0,0
567,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,3,0,0
568,0,0.5187937934151676,EU,Unknown,Unknown,PEM,2017.0,9,0,0
569,0,4.2626798770413155,EU,Unknown,Unknown,PEM,2021.0,5,0,0
570,0,1.5040773967762742,Asia,Unknown,Unknown,PEM,2022.0,4,0,0
571,0,2.3978952727983707,ANZ,Other,Vast Renewables Limited,PEM,2023.0,3,0,0
572,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,3,0,0
573,0,0.04879016416943201,Asia,Unknown,Unknown,PEM,2022.0,4,0,0
574,1,0.0,Asia,Other,Baotailong New Materials Co Ltd,Blue_CCS,2021.0,5,0,0
575,0,1.4516138272405332,Asia,Unknown,Unknown,PEM,2021.0,5,0,0
576,0,1.252762968495368,Asia,Unknown,Unknown,PEM,2021.0,5,0,0
577,0,1.0986122886681098,Other,Unknown,Unknown,PEM,2022.0,4,0,0
578,1,0.0,Asia,Other,"SK E&S Co., Ltd.",Blue_CCS,2022.0,4,0,0
579,0,3.58351893845611,Other_Europe,Oil_major,"SSE plc, Equinor ASA",PEM,2022.0,4,0,0
580,0,2.772588722239781,EU,Unknown,Unknown,PEM,2022.0,4,0,0
581,0,0.04879016416943201,North_America,Unknown,Unknown,PEM,2013.0,13,0,0
582,1,0.0,Asia,Unknown,Unknown,Blue_CCS,2022.0,4,0,0
583,1,0.0,Asia,Other,Ningxia Kaitian Gas Development Co Ltd,Blue_CCS,2022.0,4,0,0
584,1,0.0,Asia,Industrial_gas,"Air Products and Chemicals, Inc.",Blue_CCS,2020.0,6,0,0
585,1,0.0,Asia,Unknown,Unknown,Blue_CCS,2022.0,4,0,0
586,1,0.0,Asia,Other,"Huizhou HuaDaTong Gas Manufacturing Co., Ltd.",Blue_CCS,2022.0,4,0,0
587,0,6.036414011891476,Asia,Other,"Inner Mongolia Gemeng Clean Hydrogen Energy Technology Co., Ltd.",PEM,2021.0,5,0,0
588,0,3.258096538021482,North_America,Other,Florida Power & Light Company,PEM,2022.0,4,0,0
589,1,0.0,North_America,Other,Lone Cypress Energy Services,Blue_CCS,2022.0,4,0,0
590,0,1.791759469228055,ANZ,Unknown,Unknown,PEM,2022.0,4,0,0
591,0,3.58351893845611,North_America,Industrial_gas,Linde plc,PEM,2021.0,5,0,0
592,0,4.330733340286331,North_America,Unknown,Unknown,PEM,2022.0,4,0,0
593,0,3.713572066704308,North_America,Pure_play,Plug Power Inc.,PEM,2021.0,5,0,0
594,0,1.3862943611198906,EU,Unknown,Unknown,PEM,2022.0,4,0,0
